id,path,preprocess_ms,infer_ms,postprocess_ms,total_ms,class_id,score
184,data/images/part_001.png,2.09553,8.09164,2.08674,157.162,1,0.721569
185,data/images/part_002.png,2.09014,8.09238,2.07274,157.19,1,0.72549
186,data/images/part_003.png,2.09188,8.09146,2.08702,157.162,1,0.729412
187,data/images/part_004.png,2.09618,8.1109,3.2498,158.37,1,0.733333
188,data/images/part_005.png,2.08713,8.10006,2.0865,157.166,1,0.737255
189,data/images/part_006.png,2.09023,8.09803,2.08629,156.967,1,0.741176
190,data/images/part_007.png,2.29198,8.12379,2.08779,157.005,1,0.745098
191,data/images/part_008.png,2.0912,8.09299,2.43443,157.158,1,0.74902
192,data/images/part_001.png,2.09323,8.09753,2.12396,157.035,1,0.752941
193,data/images/part_002.png,2.32011,8.09238,2.08805,157,1,0.756863
194,data/images/part_003.png,2.09936,8.09479,2.28637,157.219,1,0.760784
195,data/images/part_004.png,2.09152,8.09817,2.0972,156.996,1,0.764706
196,data/images/part_005.png,2.09926,8.29082,2.06854,157.109,1,0.768627
197,data/images/part_006.png,2.07888,8.09075,2.08979,157.165,1,0.772549
198,data/images/part_007.png,2.09702,8.29167,2.08895,157.371,1,0.776471
199,data/images/part_008.png,2.09164,8.06757,2.09171,157.328,1,0.780392
